gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation	in_kegg
MED13L	-0.7654	11.42	-15.07	 2.97e-45	 1.04e-44	91.16	NS	TRUE
HIF1A	0.6615	12.51	11.43	 4.43e-28	 1.05e-27	51.81	NS	TRUE
MAPK1	0.7179	12.36	15.46	 2.85e-47	 1.06e-46	95.79	NS	TRUE
ATP1A3	-0.519	3.51	-4.48	 8.68e-06	 1.11e-05	1.26	NS	TRUE
SLC16A10	0.1967	7.51	2.58	 1.00e-02	 1.15e-02	-5.32	NS	TRUE
NOTCH3	-0.781	12.24	-12.77	 4.45e-34	 1.15e-33	65.54	NS	TRUE
HDAC3	-0.2149	10.74	-6.23	 7.74e-10	 1.17e-09	10.3	NS	TRUE
PLCD3	2.3843	10.85	24.13	 1.20e-96	 1.19e-95	209.28	Up	TRUE
ATP1A2	-2.2958	6.93	-22.44	 1.61e-86	 1.20e-85	185.98	Down	TRUE
RXRA	-0.2312	11.96	-5.4	 8.66e-08	 1.21e-07	5.71	NS	TRUE
WNT4	-0.219	6.15	-1.59	 1.11e-01	 1.22e-01	-7.37	NS	TRUE
PLCE1	-0.6948	10.52	-9.39	 6.11e-20	 1.23e-19	33.22	NS	TRUE
PLCB4	0.211	10.4	2.54	 1.14e-02	 1.29e-02	-5.44	NS	TRUE
EP300	-0.0776	11.97	-1.53	 1.26e-01	 1.36e-01	-7.47	NS	TRUE
MED24	-0.3817	11.24	-10.67	 6.40e-25	 1.36e-24	44.58	NS	TRUE
GSK3B	0.8721	11	23.61	 1.60e-93	 1.36e-92	202.09	NS	TRUE
RHEB	0.4281	11.56	10.92	 5.99e-26	 1.37e-25	46.93	NS	TRUE
MED30	-0.1712	8.1	-4.92	 1.04e-06	 1.41e-06	3.3	NS	TRUE
ATP1B4	-0.0978	0.42	-1.5	 1.33e-01	 1.43e-01	-7.51	NS	TRUE
PIK3CB	0.7794	11.21	18.05	 3.36e-61	 1.43e-60	127.78	NS	TRUE
MED13	1.2028	11.88	20.88	 2.28e-77	 1.43e-76	164.94	Up	TRUE
RCAN1	-0.1095	10.21	-1.45	 1.48e-01	 1.58e-01	-7.6	NS	TRUE
PLCZ1	-0.0718	0.34	-1.43	 1.55e-01	 1.63e-01	-7.63	NS	TRUE
MTOR	-0.2578	11.1	-6.55	 1.01e-10	 1.63e-10	12.29	NS	TRUE
PLCB1	-0.4658	7.84	-6.91	 9.91e-12	 1.64e-11	14.57	NS	TRUE
ATP1B3	0.1788	11.39	3.21	 1.38e-03	 1.66e-03	-3.52	NS	TRUE
PLCB2	-0.6688	8.36	-7.58	 1.00e-13	 1.71e-13	19.08	NS	TRUE
MDM2	0.65	11.46	13.59	 6.32e-38	 1.75e-37	74.35	NS	TRUE
KAT2B	-0.4062	10.46	-7.89	 9.96e-15	 1.77e-14	21.36	NS	TRUE
NOTCH2	0.3627	12.54	5.76	 1.23e-08	 1.79e-08	7.6	NS	TRUE
PIK3R2	1.3445	2.15	7.89	 1.03e-14	 1.80e-14	21.33	Up	TRUE
FXYD2	-1.7404	4.17	-20.69	 3.14e-76	 1.87e-75	162.32	Down	TRUE
PFKP	0.6848	11.95	13.58	 7.00e-38	 1.89e-37	74.25	NS	TRUE
ATP1A1	0.2743	15.6	4.86	 1.43e-06	 1.92e-06	2.99	NS	TRUE
PRKCG	-1.0474	1.18	-12.06	 7.90e-31	 1.92e-30	58.1	Down	TRUE
MED27	0.7512	9.21	21.72	 2.81e-82	 1.97e-81	176.23	NS	TRUE
RXRB	-0.6754	11.38	-18.02	 4.86e-61	 1.99e-60	127.41	NS	TRUE
FOXO1	-0.3463	11.04	-6.52	 1.26e-10	 2.00e-10	12.07	NS	TRUE
BMP4	-0.4903	8.03	-5.3	 1.47e-07	 2.04e-07	5.19	NS	TRUE
CTNNB1	0.9361	13.88	18.74	 4.51e-65	 2.06e-64	136.68	NS	TRUE
TBC1D4	-1.6348	10.58	-23.92	 2.25e-95	 2.06e-94	206.35	Down	TRUE
CREBBP	-0.321	12.03	-7.55	 1.25e-13	 2.09e-13	18.87	NS	TRUE
AKT2	-0.269	13.23	-4.84	 1.60e-06	 2.11e-06	2.89	NS	TRUE
CASP9	-0.8375	9.86	-19.28	 4.45e-68	 2.12e-67	143.58	NS	TRUE
RAF1	-0.4116	12.1	-10.87	 9.51e-26	 2.13e-25	46.47	NS	TRUE
GATA4	-1.311	1	-17.11	 5.39e-56	 2.14e-55	115.82	Down	TRUE
AKT1	0.2135	12.55	5.29	 1.61e-07	 2.21e-07	5.1	NS	TRUE
PRKCB	0.5345	7.23	4.81	 1.82e-06	 2.38e-06	2.77	NS	TRUE
DIO1	-2.6028	9.55	-11.34	 1.05e-27	 2.44e-27	50.95	Down	TRUE
PIK3CA	0.0936	10.27	2.29	 2.25e-02	 2.52e-02	-6.03	NS	TRUE
PLCB3	-0.2088	10.06	-5.69	 1.82e-08	 2.61e-08	7.22	NS	TRUE
NCOA3	-0.3652	10.93	-8.73	 1.47e-17	 2.77e-17	27.79	NS	TRUE
NCOR1	0.1742	12.03	4.27	 2.24e-05	 2.84e-05	0.36	NS	TRUE
NCOA1	-0.3049	10.49	-6.82	 1.76e-11	 2.87e-11	14	NS	TRUE
PLCD4	-1.5292	7.03	-19.96	 5.34e-72	 2.89e-71	152.6	Down	TRUE
DIO2	-0.309	12.53	-3.02	 2.62e-03	 3.11e-03	-4.11	NS	TRUE
KRAS	-0.0388	10.13	-1.03	 3.01e-01	 3.14e-01	-8.11	NS	TRUE
MED17	0.325	10.24	9.28	 1.66e-19	 3.28e-19	32.23	NS	TRUE
PLCD1	0.4456	10.11	8.71	 1.82e-17	 3.38e-17	27.58	NS	TRUE
ITGAV	1.027	12.7	17.06	 9.17e-56	 3.52e-55	115.29	Up	TRUE
SRC	0.3852	10.58	8.99	 1.85e-18	 3.55e-18	29.84	NS	TRUE
SLC2A1	0.9983	10.2	19.76	 7.20e-71	 3.57e-70	150	NS	TRUE
NRAS	0.5279	10.2	13.95	 1.19e-39	 3.63e-39	78.31	NS	TRUE
THRA	-0.0381	11.25	-0.9	 3.66e-01	 3.79e-01	-8.23	NS	TRUE
PRKACA	0.5806	11.79	14.55	 1.19e-42	 3.84e-42	85.19	NS	TRUE
HDAC2	0.4333	11.15	12.43	 1.61e-32	 4.09e-32	61.97	NS	TRUE
SLC16A2	-0.7077	9.95	-8.68	 2.24e-17	 4.10e-17	27.38	NS	TRUE
ATP1B1	1.1421	13.94	19.93	 8.01e-72	 4.14e-71	152.19	Up	TRUE
ACTB	0.7557	16.46	13.5	 1.60e-37	 4.23e-37	73.43	NS	TRUE
NCOA2	0.1278	10.77	2.91	 3.71e-03	 4.37e-03	-4.43	NS	TRUE
ITGB3	0.3899	11.41	4.68	 3.38e-06	 4.37e-06	2.17	NS	TRUE
PFKFB2	-1.0896	11.47	-14.13	 1.43e-40	 4.48e-40	80.42	Down	TRUE
MED1	0.3548	9.94	8.66	 2.63e-17	 4.74e-17	27.22	NS	TRUE
AKT3	-0.203	11.24	-4.14	 3.80e-05	 4.76e-05	-0.14	NS	TRUE
THRB	-0.6038	8.37	-10.03	 2.30e-22	 4.78e-22	38.74	NS	TRUE
MAP2K1	0.4019	10.56	10.03	 2.33e-22	 4.78e-22	38.73	NS	TRUE
SLC9A1	0.6357	10.81	15.14	 1.33e-45	 4.81e-45	91.96	NS	TRUE
ATP1B2	0.0736	8.22	0.69	 4.91e-01	 5.03e-01	-8.4	NS	TRUE
MED12	-0.6228	11.06	-14.73	 1.51e-43	 5.14e-43	87.25	NS	TRUE
MAP2K2	0.1485	11.91	3.54	 4.25e-04	 5.27e-04	-2.42	NS	TRUE
SLCO1C1	-1.1989	5.31	-13.7	 1.78e-38	 5.29e-38	75.62	Down	TRUE
PIK3R1	-0.1965	11.35	-3.53	 4.32e-04	 5.30e-04	-2.44	NS	TRUE
ATP1A4	-0.0517	1.21	-0.64	 5.25e-01	 5.34e-01	-8.44	NS	TRUE
MYC	-1.2089	9.5	-14.72	 1.66e-43	 5.50e-43	87.15	Down	TRUE
STAT1	1.5737	12.29	20.26	 1.02e-73	 5.77e-73	156.55	Up	TRUE
PLN	-2.2902	7.37	-24.35	 5.49e-98	 5.94e-97	212.36	Down	TRUE
PRKCA	-1.0241	8.6	-13.69	 2.06e-38	 5.97e-38	75.47	Down	TRUE
MED12L	0.868	6.42	10.76	 2.72e-25	 5.98e-25	45.43	NS	TRUE
TSC2	-0.9555	12.18	-22.49	 7.58e-87	 6.01e-86	186.74	NS	TRUE
PIK3CD	-0.4746	9.18	-6.34	 3.97e-10	 6.22e-10	10.95	NS	TRUE
PLCG2	-0.4554	9.41	-7.72	 3.60e-14	 6.22e-14	20.09	NS	TRUE
PFKM	-0.2892	10.98	-5.94	 4.19e-09	 6.23e-09	8.65	NS	TRUE
HRAS	0.271	9.7	5.93	 4.57e-09	 6.72e-09	8.57	NS	TRUE
TP53	0.9389	10.46	24.51	 5.92e-99	 7.04e-98	214.59	NS	TRUE
MED4	0.4052	10.5	12.37	 2.93e-32	 7.27e-32	61.37	NS	TRUE
MED14	-0.1487	11.02	-3.44	 6.02e-04	 7.31e-04	-2.75	NS	TRUE
PFKL	-0.2307	12.47	-9.17	 4.03e-19	 7.85e-19	31.35	NS	TRUE
HDAC1	0.57	12.43	13.66	 2.80e-38	 7.94e-38	75.16	NS	TRUE
BAD	0.2619	10.77	5.48	 5.62e-08	 7.96e-08	6.13	NS	TRUE
NOTCH1	-1.1382	10.77	-21.44	 1.21e-80	 7.99e-80	172.47	Down	TRUE
MED16	0.1048	11.05	2.7	 6.99e-03	 8.15e-03	-5	NS	TRUE
ATP2A3	-0.4688	10.13	-6.29	 5.31e-10	 8.21e-10	10.67	NS	TRUE
SIN3A	0.1061	11.53	2.67	 7.66e-03	 8.85e-03	-5.08	NS	TRUE
ATP2A2	0.0071	12.98	0.14	 8.87e-01	 8.95e-01	-8.63	NS	TRUE
ESR1	0.1905	8.65	1.74	 8.16e-02	 9.08e-02	-7.12	NS	TRUE
MAPK3	-0.0037	11.3	-0.1	 9.22e-01	 9.22e-01	-8.64	NS	TRUE
RCAN2	-0.8337	9.53	-10.71	 4.30e-25	 9.31e-25	44.98	NS	TRUE
PDPK1	-0.0805	11.09	-1.73	 8.47e-02	 9.34e-02	-7.15	NS	TRUE
NOTCH4	-1.2122	10.86	-18.62	 2.14e-64	 9.43e-64	135.12	Down	TRUE
PRKACB	0.3823	10.04	6.26	 6.30e-10	 9.62e-10	10.5	NS	TRUE
CCND1	2.649	13.14	44.44	1.73e-216	1.03e-214	485.1	Up	TRUE
ATP2A1	-2.8283	5.06	-36.49	3.21e-171	1.27e-169	380.9	Down	TRUE
MYH6	-4.423	2.65	-34.41	6.36e-159	1.51e-157	352.59	Down	TRUE
ACTG1	1.4119	16.57	28.07	1.30e-120	1.72e-119	264.42	Up	TRUE
RXRG	5.2844	8.75	33.01	1.65e-150	3.26e-149	333.23	Up	TRUE
DIO3	-4.9748	3.87	-36.2	1.49e-169	4.44e-168	377.06	Down	TRUE
PLCG1	-1.4268	11.99	-31.63	3.39e-142	5.77e-141	314.09	Down	TRUE
KAT2A	-1.7987	11.29	-30.79	4.10e-137	6.10e-136	302.39	Down	TRUE
MYH7	-5.5925	3.65	-46.17	6.10e-226	7.26e-224	506.86	Down	TRUE
